Year,Month,Crop,Price
2012,April,Cotton,89.9
2012,May,Cotton,92.1
2012,June,Cotton,92.7
2012,July,Cotton,102.0
2012,August,Cotton,103.6
2012,September,Cotton,97.5
2012,October,Cotton,91.8
2012,November,Cotton,92.4
2012,December,Cotton,92.5
2013,January,Cotton,91.8
2013,February,Cotton,93.9
2013,March,Cotton,100.2
2013,April,Cotton,98.8
2013,May,Cotton,100.2
2013,June,Cotton,105.7
2013,July,Cotton,111.6
2013,August,Cotton,116.3
2013,September,Cotton,115.5
2013,October,Cotton,111.9
2013,November,Cotton,107.5
2013,December,Cotton,105.0
2014,January,Cotton,111.7
2014,February,Cotton,111.8
2014,March,Cotton,107.4
2014,April,Cotton,106.3
2014,May,Cotton,106.1
2014,June,Cotton,108.2
2014,July,Cotton,106.4
2014,August,Cotton,104.8
2014,September,Cotton,95.9
2014,October,Cotton,90.6
2014,November,Cotton,88.3
2014,December,Cotton,89.5
2015,January,Cotton,86.5
2015,February,Cotton,83.4
2015,March,Cotton,83.6
2015,April,Cotton,89.5
2015,May,Cotton,93.0
2015,June,Cotton,91.8
2015,July,Cotton,91.5
2015,August,Cotton,90.8
2015,September,Cotton,91.3
2015,October,Cotton,86.7
2015,November,Cotton,86.2
2015,December,Cotton,89.4
2016,January,Cotton,90.4
2016,February,Cotton,87.7
2016,March,Cotton,85.7
2016,April,Cotton,89.9
2016,May,Cotton,93.5
2016,June,Cotton,104.5
2016,July,Cotton,116.4
2016,August,Cotton,115.6
2016,September,Cotton,111.0
2016,October,Cotton,105.9
2016,November,Cotton,102.1
2016,December,Cotton,103.6
2017,January,Cotton,111.4
2017,February,Cotton,113.9
2017,March,Cotton,114.3
2017,April,Cotton,111.5
2017,May,Cotton,109.4
2017,June,Cotton,110.7
2017,July,Cotton,110.7
2017,August,Cotton,110.1
2017,September,Cotton,106.5
2017,October,Cotton,100.8
2017,November,Cotton,101.7
2017,December,Cotton,107.6
2018,January,Cotton,110.6
2018,February,Cotton,106.9
2018,March,Cotton,103.3
2018,April,Cotton,102.9
2018,May,Cotton,105.0
2018,June,Cotton,116.7
2018,July,Cotton,121.9
2018,August,Cotton,122.6
2018,September,Cotton,120.9
